name,color,width,height,density@64,count,radius_mean,radius_std,area_mean,area_std
00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,gray,256,256,1.6875,27,7.650717343659098,2.9735696902885773,211.66666666666666,132.2945647101643
003cee89357d9fe13516167fd67b609a164651b21934585648c740d2c3d86dc1,gray,256,256,2.25,36,6.401622739454826,0.9505273056109547,131.58333333333334,37.694219273870985
00ae65c1c6631ae6f2be1a449902976e6eb8483bf6b0740d00530220832c6d3e,color,320,256,3.5,70,11.176599065189896,2.9428053674988313,419.64285714285717,208.12880872288721
0121d6759c5adb290c8e828fc882f37dfaf3663ec885c663859948c154a443ed,color,320,256,4.3,86,6.665679966991959,3.0550730139772595,168.90697674418604,151.9112828538479
01d44a26f6680c42ba94c9bc6339228579a95d0e2695b149b7cc0c9592b21baf,color,320,256,0.35,7,15.493143850048408,4.350899041883485,813.5714285714286,402.3583538314561
0280fa8f60f6bcae0f97d93c28f60be194f9309ff610dc5845e60455b0f87c21,gray,256,256,1.0,16,7.315097135900193,2.5281011843984627,188.1875,108.79120986435439
0287e7ee5b007c91ae2bd7628d09735e70496bc6127ecb7f3dd043e04ce37426,gray,256,256,3.875,62,8.68104724064465,2.8276380147519773,261.8709677419355,144.1054143585541
02903040e19ddf92f452907644ad3822918f54af41dd85e5a3fe3e1b6d6f9339,gray,360,360,0.7269135802469135,23,19.81107274020107,7.078879450917349,1390.4347826086957,778.685728094458
03398329ced0c23b9ac3fac84dd53a87d9ffe4d9d10f1b5fe8df8fac12380776,gray,256,256,1.0,16,4.897276760889271,0.9405531273471645,78.125,28.372246562441966
03b9306f44e9b8951461623dcbd615550cdcf36ea93b203f2c8fa58ed1dffcbe,gray,360,360,0.6953086419753086,22,21.281112166110816,6.7023868660708015,1563.909090909091,744.0880879604431
03f583ec5018739f4abb9b3b4a580ac43bd933c4337ad8877aa18b1dfb59fc9a,gray,360,360,0.537283950617284,17,24.68017785500513,7.539845838918755,2092.176470588235,999.5852807859937
0402a81e75262469925ea893b6706183832e85324f7b1e08e634129f5d522cdd,gray,347,260,5.675016626025272,125,6.291435419086303,2.0280224514752456,137.272,78.97112140523268
04acab7636c4cf61d288a5962f15fa456b7bde31a021e5deedfbf51288e4001e,gray,256,256,5.125,82,6.466725210112605,1.2178895933254739,136.03658536585365,50.79524779048106
05040e2e959c3f5632558fc9683fec88f0010026c555b499066346f67fdd0e13,gray,256,256,1.5,24,8.08599968909231,2.2426342622546493,221.20833333333334,119.4082559843423
0532c64c2fd0c4d3188cc751cdfd566b1cfba3d269358717295bab1504c7c275,gray,360,360,0.7585185185185185,24,20.17020871044777,7.356302366466368,1448.125,857.8498466369275
